PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
86,Queens,Far Rockaway,24502,266365,2287,2086
87,Manhattan,Financial District North,8953,785742,501,138606
88,Manhattan,Financial District South,9008,256371,313,73642
89,Brooklyn,Flatbush/Ditmas Park,18573,1393950,9979,9957
90,Manhattan,Flatiron,3863,853650,324,442720
91,Brooklyn,Flatlands,13578,876523,6761,6151
92,Queens,Flushing,62100,600658,11098,3810
93,Queens,Flushing Meadows-Corona Park,1385,41497,559,8010
94,Bronx,Fordham South,6264,427926,2411,1789
95,Queens,Forest Hills,16760,817056,48890,7523
96,Queens,Forest Park/Highland Park,340,23781,114,143
97,Brooklyn,Fort Greene,9636,999439,47966,22234
98,Queens,Fresh Meadows,3110,119571,810,855
99,Staten Island,Freshkills Park,261,3005,6,83
100,Manhattan,Garment District,7725,653157,187,465139
101,Queens,Glen Oaks,3133,97413,914,1212
102,Queens,Glendale,13494,359086,1600,1544
106,Brooklyn,Gowanus,4550,278118,3245,3703
107,Manhattan,Gramercy,7919,1025258,587,562452
108,Brooklyn,Gravesend,9209,214844,2537,1634
109,Staten Island,Great Kills,4378,79329,4,46
111,Brooklyn,Green-Wood Cemetery,48,7316,25,26
112,Brooklyn,Greenpoint,2112,1018807,4501,6357
113,Manhattan,Greenwich Village North,2480,770341,192,353642
114,Manhattan,Greenwich Village South,2195,709984,53,267854
115,Staten Island,Grymes Hill/Clifton,39360,115036,354,360
116,Manhattan,Hamilton Heights,5863,820367,26557,42035
117,Queens,Hammels/Arverne,11383,248148,3160,3050
118,Staten Island,Heartland Village/Todt Hill,6429,128349,39,203
119,Bronx,Highbridge,10864,687149,5084,3867
120,Manhattan,Highbridge Park,142,17400,273,253
121,Queens,Hillcrest/Pomonok,13489,305722,3621,2962
122,Queens,Hollis,2982,182060,2077,1328
123,Brooklyn,Homecrest,33020,421598,3322,2746
124,Queens,Howard Beach,2130,184462,943,1767
125,Manhattan,Hudson Sq,2270,386933,62,112490
126,Bronx,Hunts Point,8489,572709,2323,2178
127,Manhattan,Inwood,4571,609464,5661,4157
