PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
226,Queens,Sunnyside,19065,1374220,3403,28256
227,Brooklyn,Sunset Park East,14804,543989,248,874
228,Brooklyn,Sunset Park West,12915,1087696,450,2737
229,Manhattan,Sutton Place/Turtle Bay North,16112,1480932,19,724782
230,Manhattan,Times Sq/Theatre District,38594,2915024,16,1270681
231,Manhattan,TriBeCa/Civic Center,28085,2760615,27,515440
232,Manhattan,Two Bridges/Seward Park,17904,1092664,37,46609
233,Manhattan,UN/Turtle Bay South,16908,1420876,9,477691
234,Manhattan,Union Sq,23310,2566802,23,1028897
235,Bronx,University Heights/Morris Heights,6923,935283,433,2411
236,Manhattan,Upper East Side North,18444,1772752,4881,1596584
237,Manhattan,Upper East Side South,18843,1948002,15,1791795
238,Manhattan,Upper West Side North,12099,1230225,53,733979
239,Manhattan,Upper West Side South,14389,1538128,24,1060722
240,Bronx,Van Cortlandt Park,782,141018,55,157
241,Bronx,Van Cortlandt Village,3983,837320,496,1552
242,Bronx,Van Nest/Morris Park,14003,867367,515,2425
243,Manhattan,Washington Heights North,5908,1221679,2437,5896
244,Manhattan,Washington Heights South,11496,1732668,19772,23682
245,Staten Island,West Brighton,36236,170836,5,25
246,Manhattan,West Chelsea/Hudson Yards,24831,2598405,7,643097
247,Bronx,West Concourse,6856,1071563,2232,4493
248,Bronx,West Farms/Bronx River,3652,542942,224,1158
249,Manhattan,West Village,19913,2304783,4,853558
250,Bronx,Westchester Village/Unionport,4201,538369,177,1151
251,Staten Island,Westerleigh,26363,171598,5,77
252,Queens,Whitestone,15566,279554,105,532
253,Queens,Willets Point,286,10995,383,127
254,Bronx,Williamsbridge/Olinville,7602,1055893,305,2443
255,Brooklyn,Williamsburg (North Side),22254,2344378,2910,16418
256,Brooklyn,Williamsburg (South Side),22596,1954808,1507,13254
257,Brooklyn,Windsor Terrace,2738,327782,123,967
258,Queens,Woodhaven,6169,723271,274,1288
259,Bronx,Woodlawn/Wakefield,4857,720298,130,1216
260,Queens,Woodside,12125,976304,14077,8249
261,Manhattan,World Trade Center,9362,896776,8,198639
262,Manhattan,Yorkville East,9856,911952,96,511237
263,Manhattan,Yorkville West,12798,1299528,874,726577
265,N/A,Outside of NYC,44961,10870,736,30488
