PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
246,Manhattan,West Chelsea/Hudson Yards,12170,1933075,176,532860
247,Bronx,West Concourse,7220,890740,1582,5693
248,Bronx,West Farms/Bronx River,4530,426126,91,1860
249,Manhattan,West Village,8571,1678201,110,700042
250,Bronx,Westchester Village/Unionport,5469,419244,53,1704
251,Staten Island,Westerleigh,21761,135024,1,51
252,Queens,Whitestone,6016,217251,103,981
253,Queens,Willets Point,183,7524,368,217
254,Bronx,Williamsbridge/Olinville,11301,847843,136,2946
255,Brooklyn,Williamsburg (North Side),10840,1842610,1734,23161
256,Brooklyn,Williamsburg (South Side),10460,1498999,951,16340
257,Brooklyn,Windsor Terrace,2295,255034,50,1338
258,Queens,Woodhaven,6207,567237,125,2400
259,Bronx,Woodlawn/Wakefield,5866,572913,63,1636
260,Queens,Woodside,8614,764258,8164,9245
261,Manhattan,World Trade Center,4819,662282,30,159096
262,Manhattan,Yorkville East,5002,646360,54,408833
263,Manhattan,Yorkville West,6407,964101,518,558166
265,N/A,Outside of NYC,23171,7105,376,17854
