Zone,matched_demographic_region,PULocationID,TimeFrame,Data,match_score,PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
westchester village/unionport,greenwich village,250,2019.0,98076.03099,86.0,250,Bronx,westchester village/unionport,45609,484119,10913,3750
williamsbridge/olinville,williamsbridge,254,2019.0,149128.0,90.0,254,Bronx,williamsbridge/olinville,95198,920037,16772,5804
williamsburg (north side),lower east side,255,2019.0,167128.0,86.0,255,Brooklyn,williamsburg (north side),209187,2611137,79654,61578
williamsburg (south side),lower east side,256,2019.0,167128.0,86.0,256,Brooklyn,williamsburg (south side),169348,2078935,30187,49631
woodhaven,woodhaven,258,2019.0,143756.0,100.0,258,Queens,woodhaven,54602,628227,5858,3628
woodside,sunnyside/woodside,260,2019.0,136058.0,90.0,260,Queens,woodside,95468,905480,125792,43364
allerton/pelham gardens,pelham parkway,3,2021.0,137755.0,86.0,3,Bronx,allerton/pelham gardens,6263,404807,1827,1705
astoria,astoria,7,2021.0,156981.0,100.0,7,Queens,astoria,46342,1725116,22109,27607
astoria park,astoria,8,2021.0,156981.0,90.0,8,Queens,astoria park,228,7231,56,225
baisley park,battery park/tribeca,10,2021.0,59230.56761,86.0,10,Queens,baisley park,5864,637751,3321,9894
battery park,battery park/tribeca,12,2021.0,59230.56761,90.0,12,Manhattan,battery park,114,20631,3,10310
battery park city,park slope,13,2021.0,117511.0,86.0,13,Manhattan,battery park city,5933,776229,62,161027
bay ridge,bay ridge,14,2021.0,111952.0,100.0,14,Brooklyn,bay ridge,10314,946961,4648,4646
bay terrace/fort totten,bay ridge,15,2021.0,111952.0,86.0,15,Queens,bay terrace/fort totten,16824,109602,346,953
bayside,bayside,16,2021.0,121130.0,100.0,16,Queens,bayside,14288,317255,709,1812
bedford,bedford park,17,2021.0,130407.0,90.0,17,Brooklyn,bedford,8122,1620382,6921,8718
bedford park,bedford park,18,2021.0,130407.0,100.0,18,Bronx,bedford park,10208,895273,3162,3000
bensonhurst east,bensonhurst,21,2021.0,206519.0,95.0,21,Brooklyn,bensonhurst east,13387,455328,1633,1820
bensonhurst west,bensonhurst,22,2021.0,206519.0,95.0,22,Brooklyn,bensonhurst west,11661,607951,2365,2851
boerum hill,murray hill/stuyvesant,25,2021.0,144396.0,86.0,25,Brooklyn,boerum hill,6250,931128,11249,16937
borough park,borough park,26,2021.0,172253.0,100.0,26,Brooklyn,borough park,11616,872873,3123,3797
breezy point/fort tilden/riis beach,hunts point,27,2021.0,57993.5216,86.0,27,Queens,breezy point/fort tilden/riis beach,378,14662,38,78
bronx park,bronx,31,2021.0,1424948.0,90.0,31,Bronx,bronx park,962,87851,395,566
bronxdale,bronx,32,2021.0,1424948.0,90.0,32,Bronx,bronxdale,6736,500719,2361,2313
brooklyn heights,brooklyn,33,2021.0,2641052.0,90.0,33,Brooklyn,brooklyn heights,6677,806136,13114,20528
brooklyn navy yard,brooklyn,34,2021.0,2641052.0,90.0,34,Brooklyn,brooklyn navy yard,155,143790,348,748
brownsville,brownsville,35,2021.0,123956.0,100.0,35,Brooklyn,brownsville,14875,1300638,6523,8240
bushwick north,bushwick,36,2021.0,114694.0,90.0,36,Brooklyn,bushwick north,4297,1346555,1754,4049
bushwick south,bushwick,37,2021.0,114694.0,90.0,37,Brooklyn,bushwick south,9901,2062198,3308,7821
canarsie,canarsie,39,2021.0,196219.0,100.0,39,Brooklyn,canarsie,26617,1499760,6567,8394
central harlem,central harlem,41,2021.0,128792.0,100.0,41,Manhattan,central harlem,7614,1224140,58946,145455
central harlem north,central harlem,42,2021.0,128792.0,95.0,42,Manhattan,central harlem north,18386,1793453,39869,66955
central park,battery park/tribeca,43,2021.0,59230.56761,86.0,43,Manhattan,central park,1866,285370,17641,557238
charleston/tottenville,tottenville,44,2021.0,169906.0,90.0,44,Staten Island,charleston/tottenville,7726,64072,81,1337
clinton hill,murray hill/stuyvesant,49,2021.0,144396.0,86.0,49,Brooklyn,clinton hill,5465,1058960,6315,7803
cobble hill,murray hill/stuyvesant,52,2021.0,144396.0,86.0,52,Brooklyn,cobble hill,1355,247385,5438,8204
coney island,coney island,55,2021.0,120401.0,100.0,55,Brooklyn,coney island,26699,474770,5864,4981
corona,elmhurst/corona,56,2021.0,137364.0,90.0,56,Queens,corona,48700,542828,2854,3031
corona,elmhurst/corona,57,2021.0,137364.0,90.0,57,Queens,corona,2845,39502,291,381
crotona park,battery park/tribeca,59,2021.0,59230.56761,86.0,59,Bronx,crotona park,242,26193,99,105
crotona park east,east harlem,60,2021.0,123582.0,86.0,60,Bronx,crotona park east,4299,477602,1668,1736
crown heights north,crown heights north,61,2021.0,138614.0,100.0,61,Brooklyn,crown heights north,24096,2680527,14166,14392
crown heights south,crown heights south,62,2021.0,109967.0,100.0,62,Brooklyn,crown heights south,7002,702937,3824,4052
cypress hills,rego park/forest hills,63,2021.0,126028.0,86.0,63,Brooklyn,cypress hills,4666,630680,1421,2412
downtown brooklyn/metrotech,brooklyn,65,2021.0,2641052.0,90.0,65,Brooklyn,downtown brooklyn/metrotech,4913,739989,20726,24755
east concourse/concourse village,greenwich village,69,2021.0,87436.43239,86.0,69,Bronx,east concourse/concourse village,15602,952913,6313,5683
east flushing,flushing,73,2021.0,242765.0,90.0,73,Queens,east flushing,16754,172444,280,477
east harlem north,east harlem,74,2021.0,123582.0,90.0,74,Manhattan,east harlem north,17308,1390619,107325,151610
east harlem south,east harlem,75,2021.0,123582.0,90.0,75,Manhattan,east harlem south,19587,1197479,94201,320661
east new york,east new york,76,2021.0,178925.0,100.0,76,Brooklyn,east new york,19074,2197612,8686,13292
east new york/pennsylvania avenue,east new york,77,2021.0,178925.0,90.0,77,Brooklyn,east new york/pennsylvania avenue,7116,640340,2500,3306
east tremont,east tremont,78,2021.0,89653.42928,100.0,78,Bronx,east tremont,14894,815043,3120,3806
east williamsburg,east harlem,80,2021.0,123582.0,86.0,80,Brooklyn,east williamsburg,4120,1344851,2619,8301
elmhurst,elmhurst/corona,82,2021.0,137364.0,90.0,82,Queens,elmhurst,42222,1256039,20859,7075
eltingville/annadale/prince's bay,bay ridge,84,2021.0,111952.0,86.0,84,Staten Island,eltingville/annadale/prince's bay,5000,66649,36,59
financial district south,south beach,88,2021.0,138438.0,86.0,88,Manhattan,financial district south,6365,355438,160,75649
flatbush/ditmas park,bedford park,89,2021.0,130407.0,86.0,89,Brooklyn,flatbush/ditmas park,20015,1548324,6581,8664
flushing,flushing,92,2021.0,242765.0,100.0,92,Queens,flushing,74602,760681,4405,4382
flushing meadows-corona park,flushing,93,2021.0,242765.0,90.0,93,Queens,flushing meadows-corona park,1736,111928,2791,3506
forest hills,rego park/forest hills,95,2021.0,126028.0,90.0,95,Queens,forest hills,18095,1071531,32897,6842
forest park/highland park,bedford park,96,2021.0,130407.0,86.0,96,Queens,forest park/highland park,286,25825,146,206
fort greene,fort greene/brooklyn hts,97,2021.0,147130.0,90.0,97,Brooklyn,fort greene,7948,1135588,22709,18774
freshkills park,park slope,99,2021.0,117511.0,86.0,99,Staten Island,freshkills park,176,4355,18,30
garment district,midtown business district,100,2021.0,50674.34935,86.0,100,Manhattan,garment district,9266,886717,272,501389
glendale,ridgewood/glendale,102,2021.0,168184.0,90.0,102,Queens,glendale,7761,429986,1326,1345
greenwich village north,greenwich village,113,2021.0,87436.43239,95.0,113,Manhattan,greenwich village north,6038,1055551,260,429841
