Location,matched_trip_zone,PULocationID,match_score,Location,TimeFrame,DataFormat,Data,Fips,PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
unionport/soundview,westchester village/unionport,250,86.0,unionport/soundview,2006,Number,180396.0,209,250,Bronx,westchester village/unionport,45609,484119,10913,3750
throgs neck,,264,,throgs neck,2006,Number,114081.0,210,264,Unknown,,16865242,2382,11929,787156
pelham parkway,pelham parkway,185,100.0,pelham parkway,2006,Number,121465.0,211,185,Bronx,pelham parkway,65054,619082,10120,2753
williamsbridge,williamsbridge/olinville,254,90.0,williamsbridge,2006,Number,147818.0,212,254,Bronx,williamsbridge/olinville,95198,920037,16772,5804
williamsburg/greenpoint,greenpoint,112,90.0,williamsburg/greenpoint,2006,Number,141513.0,301,112,Brooklyn,greenpoint,168721,2001180,32694,24855
fort greene/brooklyn hts,fort greene,97,90.0,fort greene/brooklyn hts,2006,Number,111796.0,302,97,Brooklyn,fort greene,152662,1653143,168486,68402
bedford stuyvesant,bedford,17,90.0,bedford stuyvesant,2006,Number,132087.0,303,17,Brooklyn,bedford,187134,2071716,41662,16853
bushwick,bushwick north,36,90.0,bushwick,2006,Number,123871.0,304,36,Brooklyn,bushwick north,200579,1950479,15110,7955
east new york,east new york,76,100.0,east new york,2006,Number,161064.0,305,76,Brooklyn,east new york,178985,2093773,41656,19623
park slope,park slope,181,100.0,park slope,2006,Number,110032.0,306,181,Brooklyn,park slope,235912,2407999,117060,68533
sunset park,sunset park east,227,95.0,sunset park,2006,Number,153066.0,307,227,Brooklyn,sunset park east,58310,497088,6776,3211
crown heights north,crown heights north,61,100.0,crown heights north,2006,Number,127013.0,308,61,Brooklyn,crown heights north,321523,3357869,66409,25251
crown heights south,crown heights south,62,100.0,crown heights south,2006,Number,110333.0,309,62,Brooklyn,crown heights south,85765,887772,17999,7912
bay ridge,bay ridge,14,100.0,bay ridge,2006,Number,123447.0,310,14,Brooklyn,bay ridge,106173,1176998,20438,9025
bensonhurst,bensonhurst east,21,95.0,bensonhurst,2006,Number,174593.0,311,21,Brooklyn,bensonhurst east,57899,555697,8927,3691
borough park,borough park,26,100.0,borough park,2006,Number,155509.0,312,26,Brooklyn,borough park,102890,1065609,15046,7173
coney island,coney island,55,100.0,coney island,2006,Number,103687.0,313,55,Brooklyn,coney island,47213,440761,26044,4074
flatbush/midwood,midwood,165,90.0,flatbush/midwood,2006,Number,163099.0,314,165,Brooklyn,midwood,69800,668288,14738,6510
sheepshead bay,sheepshead bay,210,100.0,sheepshead bay,2006,Number,148784.0,315,210,Brooklyn,sheepshead bay,67583,682463,30733,5291
brownsville,brownsville,35,100.0,brownsville,2006,Number,116936.0,316,35,Brooklyn,brownsville,114400,1281724,26012,10946
east flatbush,east flatbush/farragut,71,90.0,east flatbush,2006,Number,147390.0,317,71,Brooklyn,east flatbush/farragut,86477,922965,18237,7665
canarsie,canarsie,39,100.0,canarsie,2006,Number,204600.0,318,39,Brooklyn,canarsie,146173,1610372,26058,11762
astoria,astoria,7,100.0,astoria,2006,Number,190247.0,401,7,Queens,astoria,268194,2284990,250356,119932
sunnyside/woodside,sunnyside,226,90.0,sunnyside/woodside,2006,Number,128673.0,402,226,Queens,sunnyside,134177,1345587,44931,124512
