Location,matched_trip_zone,PULocationID,match_score,Location,TimeFrame,DataFormat,Data,Fips,PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
concourse/highbridge,highbridge,119,90.0,concourse/highbridge,2015,Number,154296.0,204,119,Bronx,highbridge,83119,808319,12303,5157
university heights,university heights/morris heights,235,90.0,university heights,2015,Number,143996.0,205,235,Bronx,university heights/morris heights,105557,1064266,15893,6377
east tremont,east tremont,78,100.0,east tremont,2015,Number,90051.486,206,78,Bronx,east tremont,94899,884432,12885,4295
bedford park,bedford park,18,100.0,bedford park,2015,Number,129884.0,207,18,Bronx,bedford park,100294,1024049,12673,3318
riverdale,riverdale/north riverdale/fieldston,200,90.0,riverdale,2015,Number,112505.0,208,200,Bronx,riverdale/north riverdale/fieldston,36980,391415,6126,2838
unionport/soundview,westchester village/unionport,250,86.0,unionport/soundview,2015,Number,178301.0,209,250,Bronx,westchester village/unionport,45609,484119,10913,3750
throgs neck,,264,,throgs neck,2015,Number,116042.0,210,264,Unknown,,16865242,2382,11929,787156
pelham parkway,pelham parkway,185,100.0,pelham parkway,2015,Number,133573.0,211,185,Bronx,pelham parkway,65054,619082,10120,2753
williamsbridge,williamsbridge/olinville,254,90.0,williamsbridge,2015,Number,145536.0,212,254,Bronx,williamsbridge/olinville,95198,920037,16772,5804
williamsburg/greenpoint,greenpoint,112,90.0,williamsburg/greenpoint,2015,Number,167820.0,301,112,Brooklyn,greenpoint,168721,2001180,32694,24855
fort greene/brooklyn hts,fort greene,97,90.0,fort greene/brooklyn hts,2015,Number,134656.0,302,97,Brooklyn,fort greene,152662,1653143,168486,68402
bedford stuyvesant,bedford,17,90.0,bedford stuyvesant,2015,Number,150857.0,303,17,Brooklyn,bedford,187134,2071716,41662,16853
bushwick,bushwick north,36,90.0,bushwick,2015,Number,122010.0,304,36,Brooklyn,bushwick north,200579,1950479,15110,7955
east new york,east new york,76,100.0,east new york,2015,Number,158756.0,305,76,Brooklyn,east new york,178985,2093773,41656,19623
park slope,park slope,181,100.0,park slope,2015,Number,117037.0,306,181,Brooklyn,park slope,235912,2407999,117060,68533
sunset park,sunset park east,227,95.0,sunset park,2015,Number,149773.0,307,227,Brooklyn,sunset park east,58310,497088,6776,3211
crown heights north,crown heights north,61,100.0,crown heights north,2015,Number,131303.0,308,61,Brooklyn,crown heights north,321523,3357869,66409,25251
crown heights south,crown heights south,62,100.0,crown heights south,2015,Number,115092.0,309,62,Brooklyn,crown heights south,85765,887772,17999,7912
bay ridge,bay ridge,14,100.0,bay ridge,2015,Number,122418.0,310,14,Brooklyn,bay ridge,106173,1176998,20438,9025
bensonhurst,bensonhurst east,21,95.0,bensonhurst,2015,Number,187861.0,311,21,Brooklyn,bensonhurst east,57899,555697,8927,3691
borough park,borough park,26,100.0,borough park,2015,Number,161856.0,312,26,Brooklyn,borough park,102890,1065609,15046,7173
coney island,coney island,55,100.0,coney island,2015,Number,122781.0,313,55,Brooklyn,coney island,47213,440761,26044,4074
flatbush/midwood,midwood,165,90.0,flatbush/midwood,2015,Number,163459.0,314,165,Brooklyn,midwood,69800,668288,14738,6510
sheepshead bay,sheepshead bay,210,100.0,sheepshead bay,2015,Number,147318.0,315,210,Brooklyn,sheepshead bay,67583,682463,30733,5291
brownsville,brownsville,35,100.0,brownsville,2015,Number,127468.0,316,35,Brooklyn,brownsville,114400,1281724,26012,10946
east flatbush,east flatbush/farragut,71,90.0,east flatbush,2015,Number,143028.0,317,71,Brooklyn,east flatbush/farragut,86477,922965,18237,7665
canarsie,canarsie,39,100.0,canarsie,2015,Number,213242.0,318,39,Brooklyn,canarsie,146173,1610372,26058,11762
astoria,astoria,7,100.0,astoria,2015,Number,175460.0,401,7,Queens,astoria,268194,2284990,250356,119932
sunnyside/woodside,sunnyside,226,90.0,sunnyside/woodside,2015,Number,144899.0,402,226,Queens,sunnyside,134177,1345587,44931,124512
jackson heights,jackson heights,129,100.0,jackson heights,2015,Number,186415.0,403,129,Queens,jackson heights,239990,1727841,157669,43858
elmhurst/corona,corona,56,90.0,elmhurst/corona,2015,Number,129606.0,404,56,Queens,corona,134033,620094,16006,8559
elmhurst/corona,corona,57,90.0,elmhurst/corona,2015,Number,129606.0,404,57,Queens,corona,5922,49978,909,293
ridgewood/glendale,glendale,102,90.0,ridgewood/glendale,2015,Number,186458.0,405,102,Queens,glendale,67370,513503,4750,2440
rego park/forest hills,forest hills,95,90.0,rego park/forest hills,2015,Number,127938.0,406,95,Queens,forest hills,129031,1329599,182178,16698
flushing,flushing,92,100.0,flushing,2015,Number,247398.0,407,92,Queens,flushing,201025,1103231,50896,6883
fresh meadows/briarwood,fresh meadows,98,90.0,fresh meadows/briarwood,2015,Number,161612.0,408,98,Queens,fresh meadows,20766,210524,2526,1922
woodhaven,woodhaven,258,100.0,woodhaven,2015,Number,158478.0,409,258,Queens,woodhaven,54602,628227,5858,3628
howard beach,howard beach,124,100.0,howard beach,2015,Number,135849.0,410,124,Queens,howard beach,22375,267762,3661,3569
bayside,bayside,16,100.0,bayside,2015,Number,113563.0,411,16,Queens,bayside,56883,461406,4854,2769
jamaica/st. albans,jamaica,130,90.0,jamaica/st. albans,2015,Number,246946.0,412,130,Queens,jamaica,108415,1343886,110395,17661
queens village,queens village,191,100.0,queens village,2015,Number,203013.0,413,191,Queens,queens village,42584,489462,9336,5123
the rockaways,,264,,the rockaways,2015,Number,121595.0,414,264,Unknown,,16865242,2382,11929,787156
st. george,saint george/new brighton,206,86.0,st. george,2015,Number,170280.0,501,206,Staten Island,saint george/new brighton,87545,364752,487,330
south beach,south beach/dongan hills,214,90.0,south beach,2015,Number,136638.0,502,214,Staten Island,south beach/dongan hills,18593,137147,118,240
tottenville,charleston/tottenville,44,90.0,tottenville,2015,Number,167640.0,503,44,Staten Island,charleston/tottenville,15693,66190,25,397
bronx,bronx park,31,90.0,bronx,2015,Number,1455444.0,36005,31,Bronx,bronx park,12047,93036,2351,619
brooklyn,brooklyn heights,33,90.0,brooklyn,2015,Number,2636735.0,36047,33,Brooklyn,brooklyn heights,108465,1165374,146314,84487
manhattan,manhattan beach,150,90.0,manhattan,2015,Number,1644518.0,36061,150,Brooklyn,manhattan beach,28614,288166,5582,1707
queens,long island city/queens plaza,146,90.0,queens,2015,Number,2339150.0,36081,146,Queens,long island city/queens plaza,61943,602956,28213,75691
staten island,governor's island/ellis island/liberty island,105,86.0,staten island,2015,Number,474558.0,36085,105,Manhattan,governor's island/ellis island/liberty island,23,65,1,118
new york city,east new york/pennsylvania avenue,77,86.0,new york city,2015,Number,8550405.0,3651000,77,Brooklyn,east new york/pennsylvania avenue,54543,594451,10362,4263
kingsbridge - riverdale,riverdale/north riverdale/fieldston,200,86.0,kingsbridge - riverdale,2015,Number,93692.75037,uhf101,200,Bronx,riverdale/north riverdale/fieldston,36980,391415,6126,2838
northeast bronx,bronx park,31,86.0,northeast bronx,2015,Number,203034.8842,uhf102,31,Bronx,bronx park,12047,93036,2351,619
fordham - bronx park,bronx park,31,90.0,fordham - bronx park,2015,Number,262275.2562,uhf103,31,Bronx,bronx park,12047,93036,2351,619
pelham - throgs neck,pelham bay,183,86.0,pelham - throgs neck,2015,Number,305281.7595,uhf104,183,Bronx,pelham bay,20930,245435,4360,1409
crotona - tremont,,264,,crotona - tremont,2015,Number,216806.6898,uhf105,264,Unknown,,16865242,2382,11929,787156
high bridge - morrisania,highbridge,119,81.0,high bridge - morrisania,2015,Number,218940.908,uhf106,119,Bronx,highbridge,83119,808319,12303,5157
hunts point - mott haven,hunts point,126,90.0,hunts point - mott haven,2015,Number,141499.562,uhf107,126,Bronx,hunts point,54238,608626,7476,2454
greenpoint,greenpoint,112,100.0,greenpoint,2015,Number,137046.4732,uhf201,112,Brooklyn,greenpoint,168721,2001180,32694,24855
downtown  - heights - slope,arden heights,5,86.0,downtown  - heights - slope,2015,Number,256802.421,uhf202,5,Staten Island,arden heights,8616,52190,72,393
bedford stuyvesant - crown heights,bedford,17,90.0,bedford stuyvesant - crown heights,2015,Number,332924.2937,uhf203,17,Brooklyn,bedford,187134,2071716,41662,16853
east new york,east new york,76,100.0,east new york,2015,Number,189838.8818,uhf204,76,Brooklyn,east new york,178985,2093773,41656,19623
sunset park,sunset park east,227,95.0,sunset park,2015,Number,127218.1117,uhf205,227,Brooklyn,sunset park east,58310,497088,6776,3211
borough park,borough park,26,100.0,borough park,2015,Number,338481.6493,uhf206,26,Brooklyn,borough park,102890,1065609,15046,7173
east flatbush - flatbush,east flatbush/farragut,71,95.0,east flatbush - flatbush,2015,Number,303040.5381,uhf207,71,Brooklyn,east flatbush/farragut,86477,922965,18237,7665
canarsie - flatlands,canarsie,39,90.0,canarsie - flatlands,2015,Number,209328.8455,uhf208,39,Brooklyn,canarsie,146173,1610372,26058,11762
bensonhurst - bay ridge,bay ridge,14,90.0,bensonhurst - bay ridge,2015,Number,204400.5353,uhf209,14,Brooklyn,bay ridge,106173,1176998,20438,9025
coney island - sheepshead bay,coney island,55,90.0,coney island - sheepshead bay,2015,Number,289618.5138,uhf210,55,Brooklyn,coney island,47213,440761,26044,4074
williamsburg - bushwick,bushwick north,36,86.0,williamsburg - bushwick,2015,Number,221906.7367,uhf211,36,Brooklyn,bushwick north,200579,1950479,15110,7955
washington heights - inwood,inwood,127,90.0,washington heights - inwood,2015,Number,272427.9382,uhf301,127,Manhattan,inwood,72483,838342,18404,8761
central harlem - morningside heights,central harlem,41,90.0,central harlem - morningside heights,2015,Number,182161.2303,uhf302,41,Manhattan,central harlem,148752,1585162,341774,322815
east harlem,east harlem north,74,90.0,east harlem,2015,Number,114665.4635,uhf303,74,Manhattan,east harlem north,165358,1694788,468595,328911
upper west side,upper west side north,238,95.0,upper west side,2015,Number,216733.5455,uhf304,238,Manhattan,upper west side north,169896,1552500,868,1665383
upper east side,upper east side north,236,95.0,upper east side,2015,Number,219658.8965,uhf305,236,Manhattan,upper east side north,203313,1955678,13392,3293443
chelsea - clinton,,264,,chelsea - clinton,2015,Number,150506.7495,uhf306,264,Unknown,,16865242,2382,11929,787156
gramercy park -  murray hill,gramercy,107,90.0,gramercy park -  murray hill,2015,Number,130847.9299,uhf307,107,Manhattan,gramercy,226112,2191532,521,1899635
greenwich village - soho,soho,211,90.0,greenwich village - soho,2015,Number,84292.71813,uhf308,211,Manhattan,soho,136489,1427999,44,662188
union square - lower east side,lower east side,148,90.0,union square - lower east side,2015,Number,188873.9543,uhf309,148,Manhattan,lower east side,248540,2718879,191,1034964
lower manhattan,,264,,lower manhattan,2015,Number,60490.71787,uhf310,264,Unknown,,16865242,2382,11929,787156
long island city - astoria,astoria,7,90.0,long island city - astoria,2015,Number,212060.3045,uhf401,7,Queens,astoria,268194,2284990,250356,119932
west queens,lincoln square west,143,86.0,west queens,2015,Number,462738.5283,uhf402,143,Manhattan,lincoln square west,137050,1323677,302,984405
flushing - clearview,flushing,92,90.0,flushing - clearview,2015,Number,253337.0549,uhf403,92,Queens,flushing,201025,1103231,50896,6883
bayside - little neck,bayside,16,90.0,bayside - little neck,2015,Number,88469.71431,uhf404,16,Queens,bayside,56883,461406,4854,2769
ridgewood - forest hills,forest hills,95,90.0,ridgewood - forest hills,2015,Number,258095.8305,uhf405,95,Queens,forest hills,129031,1329599,182178,16698
fresh meadows,fresh meadows,98,100.0,fresh meadows,2015,Number,101174.251,uhf406,98,Queens,fresh meadows,20766,210524,2526,1922
southwest queens,long island city/queens plaza,146,86.0,southwest queens,2015,Number,288376.4091,uhf407,146,Queens,long island city/queens plaza,61943,602956,28213,75691
jamaica,jamaica,130,100.0,jamaica,2015,Number,319867.6621,uhf408,130,Queens,jamaica,108415,1343886,110395,17661
southeast queens,long island city/queens plaza,146,86.0,southeast queens,2015,Number,214382.2979,uhf409,146,Queens,long island city/queens plaza,61943,602956,28213,75691
rockaway,far rockaway,86,90.0,rockaway,2015,Number,124359.9937,uhf410,86,Queens,far rockaway,45956,270070,5110,2548
port  richmond,port richmond,187,96.0,port  richmond,2015,Number,67777.50169,uhf501,187,Staten Island,port richmond,24727,108618,92,79
stapleton - st. george,stapleton,221,90.0,stapleton - st. george,2015,Number,122531.3314,uhf502,221,Staten Island,stapleton,45144,236865,247,163
willowbrook,,264,,willowbrook,2015,Number,88656.00286,uhf503,264,Unknown,,16865242,2382,11929,787156
south beach - tottenville,bath beach,11,86.0,south beach - tottenville,2015,Number,193556.1641,uhf504,11,Brooklyn,bath beach,24014,231060,4337,1718
zip code 10001,,264,,zip code 10001,2015,Number,23537.0,10001,264,Unknown,,16865242,2382,11929,787156
zip code 10002,,264,,zip code 10002,2015,Number,80736.0,10002,264,Unknown,,16865242,2382,11929,787156
zip code 10003,,264,,zip code 10003,2015,Number,57112.0,10003,264,Unknown,,16865242,2382,11929,787156
zip code 10004,,264,,zip code 10004,2015,Number,3221.0,10004,264,Unknown,,16865242,2382,11929,787156
zip code 10005,,264,,zip code 10005,2015,Number,8131.0,10005,264,Unknown,,16865242,2382,11929,787156
zip code 10006,,264,,zip code 10006,2015,Number,3110.0,10006,264,Unknown,,16865242,2382,11929,787156
zip code 10007,,264,,zip code 10007,2015,Number,6876.0,10007,264,Unknown,,16865242,2382,11929,787156
zip code 10009,,264,,zip code 10009,2015,Number,60865.0,10009,264,Unknown,,16865242,2382,11929,787156
zip code 10010,,264,,zip code 10010,2015,Number,31447.0,10010,264,Unknown,,16865242,2382,11929,787156
zip code 10011,,264,,zip code 10011,2015,Number,52349.0,10011,264,Unknown,,16865242,2382,11929,787156
zip code 10012,,264,,zip code 10012,2015,Number,24163.0,10012,264,Unknown,,16865242,2382,11929,787156
zip code 10013,,264,,zip code 10013,2015,Number,27415.0,10013,264,Unknown,,16865242,2382,11929,787156
zip code 10014,,264,,zip code 10014,2015,Number,30727.0,10014,264,Unknown,,16865242,2382,11929,787156
zip code 10016,,264,,zip code 10016,2015,Number,50641.0,10016,264,Unknown,,16865242,2382,11929,787156
zip code 10017,,264,,zip code 10017,2015,Number,16472.0,10017,264,Unknown,,16865242,2382,11929,787156
zip code 10018,,264,,zip code 10018,2015,Number,9168.0,10018,264,Unknown,,16865242,2382,11929,787156
zip code 10019,,264,,zip code 10019,2015,Number,38830.0,10019,264,Unknown,,16865242,2382,11929,787156
zip code 10021,,264,,zip code 10021,2015,Number,43573.0,10021,264,Unknown,,16865242,2382,11929,787156
zip code 10022,,264,,zip code 10022,2015,Number,30607.0,10022,264,Unknown,,16865242,2382,11929,787156
zip code 10023,,264,,zip code 10023,2015,Number,60586.0,10023,264,Unknown,,16865242,2382,11929,787156
zip code 10024,,264,,zip code 10024,2015,Number,58391.0,10024,264,Unknown,,16865242,2382,11929,787156
zip code 10025,,264,,zip code 10025,2015,Number,96068.0,10025,264,Unknown,,16865242,2382,11929,787156
zip code 10026,,264,,zip code 10026,2015,Number,38310.0,10026,264,Unknown,,16865242,2382,11929,787156
zip code 10027,,264,,zip code 10027,2015,Number,64413.0,10027,264,Unknown,,16865242,2382,11929,787156
zip code 10028,,264,,zip code 10028,2015,Number,46883.0,10028,264,Unknown,,16865242,2382,11929,787156
zip code 10029,,264,,zip code 10029,2015,Number,79251.0,10029,264,Unknown,,16865242,2382,11929,787156
zip code 10030,,264,,zip code 10030,2015,Number,29209.0,10030,264,Unknown,,16865242,2382,11929,787156
zip code 10031,,264,,zip code 10031,2015,Number,59244.0,10031,264,Unknown,,16865242,2382,11929,787156
zip code 10032,,264,,zip code 10032,2015,Number,62685.0,10032,264,Unknown,,16865242,2382,11929,787156
zip code 10033,,264,,zip code 10033,2015,Number,59844.0,10033,264,Unknown,,16865242,2382,11929,787156
zip code 10034,,264,,zip code 10034,2015,Number,43405.0,10034,264,Unknown,,16865242,2382,11929,787156
zip code 10035,,264,,zip code 10035,2015,Number,33920.0,10035,264,Unknown,,16865242,2382,11929,787156
zip code 10036,,264,,zip code 10036,2015,Number,25799.0,10036,264,Unknown,,16865242,2382,11929,787156
zip code 10037,,264,,zip code 10037,2015,Number,18777.0,10037,264,Unknown,,16865242,2382,11929,787156
zip code 10038,,264,,zip code 10038,2015,Number,21464.0,10038,264,Unknown,,16865242,2382,11929,787156
zip code 10039,,264,,zip code 10039,2015,Number,26697.0,10039,264,Unknown,,16865242,2382,11929,787156
zip code 10040,,264,,zip code 10040,2015,Number,44378.0,10040,264,Unknown,,16865242,2382,11929,787156
zip code 10044,,264,,zip code 10044,2015,Number,11783.0,10044,264,Unknown,,16865242,2382,11929,787156
zip code 10065,,264,,zip code 10065,2015,Number,30237.0,10065,264,Unknown,,16865242,2382,11929,787156
zip code 10069,,264,,zip code 10069,2015,Number,5526.0,10069,264,Unknown,,16865242,2382,11929,787156
zip code 10075,,264,,zip code 10075,2015,Number,25756.0,10075,264,Unknown,,16865242,2382,11929,787156
zip code 10128,,264,,zip code 10128,2015,Number,61927.0,10128,264,Unknown,,16865242,2382,11929,787156
zip code 10280,,264,,zip code 10280,2015,Number,9552.0,10280,264,Unknown,,16865242,2382,11929,787156
zip code 10282,,264,,zip code 10282,2015,Number,5730.0,10282,264,Unknown,,16865242,2382,11929,787156
zip code 10301,,264,,zip code 10301,2015,Number,39209.0,10301,264,Unknown,,16865242,2382,11929,787156
zip code 10302,,264,,zip code 10302,2015,Number,18286.0,10302,264,Unknown,,16865242,2382,11929,787156
zip code 10303,,264,,zip code 10303,2015,Number,23933.0,10303,264,Unknown,,16865242,2382,11929,787156
zip code 10304,,264,,zip code 10304,2015,Number,42244.0,10304,264,Unknown,,16865242,2382,11929,787156
zip code 10305,,264,,zip code 10305,2015,Number,41795.0,10305,264,Unknown,,16865242,2382,11929,787156
zip code 10306,,264,,zip code 10306,2015,Number,54939.0,10306,264,Unknown,,16865242,2382,11929,787156
zip code 10307,,264,,zip code 10307,2015,Number,15098.0,10307,264,Unknown,,16865242,2382,11929,787156
zip code 10308,,264,,zip code 10308,2015,Number,29766.0,10308,264,Unknown,,16865242,2382,11929,787156
zip code 10309,,264,,zip code 10309,2015,Number,33185.0,10309,264,Unknown,,16865242,2382,11929,787156
zip code 10310,,264,,zip code 10310,2015,Number,24394.0,10310,264,Unknown,,16865242,2382,11929,787156
zip code 10312,,264,,zip code 10312,2015,Number,62032.0,10312,264,Unknown,,16865242,2382,11929,787156
zip code 10314,,264,,zip code 10314,2015,Number,87600.0,10314,264,Unknown,,16865242,2382,11929,787156
zip code 10451,,264,,zip code 10451,2015,Number,48188.0,10451,264,Unknown,,16865242,2382,11929,787156
zip code 10452,,264,,zip code 10452,2015,Number,75559.0,10452,264,Unknown,,16865242,2382,11929,787156
zip code 10453,,264,,zip code 10453,2015,Number,80081.0,10453,264,Unknown,,16865242,2382,11929,787156
zip code 10454,,264,,zip code 10454,2015,Number,39012.0,10454,264,Unknown,,16865242,2382,11929,787156
zip code 10455,,264,,zip code 10455,2015,Number,41609.0,10455,264,Unknown,,16865242,2382,11929,787156
zip code 10456,,264,,zip code 10456,2015,Number,91868.0,10456,264,Unknown,,16865242,2382,11929,787156
zip code 10457,,264,,zip code 10457,2015,Number,73763.0,10457,264,Unknown,,16865242,2382,11929,787156
zip code 10458,,264,,zip code 10458,2015,Number,79974.0,10458,264,Unknown,,16865242,2382,11929,787156
zip code 10459,,264,,zip code 10459,2015,Number,47778.0,10459,264,Unknown,,16865242,2382,11929,787156
zip code 10460,,264,,zip code 10460,2015,Number,59512.0,10460,264,Unknown,,16865242,2382,11929,787156
zip code 10461,,264,,zip code 10461,2015,Number,51820.0,10461,264,Unknown,,16865242,2382,11929,787156
zip code 10462,,264,,zip code 10462,2015,Number,78504.0,10462,264,Unknown,,16865242,2382,11929,787156
zip code 10463,,264,,zip code 10463,2015,Number,71981.0,10463,264,Unknown,,16865242,2382,11929,787156
zip code 10464,,264,,zip code 10464,2015,Number,4723.0,10464,264,Unknown,,16865242,2382,11929,787156
zip code 10465,,264,,zip code 10465,2015,Number,45839.0,10465,264,Unknown,,16865242,2382,11929,787156
zip code 10466,,264,,zip code 10466,2015,Number,71138.0,10466,264,Unknown,,16865242,2382,11929,787156
zip code 10467,,264,,zip code 10467,2015,Number,101134.0,10467,264,Unknown,,16865242,2382,11929,787156
zip code 10468,,264,,zip code 10468,2015,Number,73637.0,10468,264,Unknown,,16865242,2382,11929,787156
zip code 10469,,264,,zip code 10469,2015,Number,72732.0,10469,264,Unknown,,16865242,2382,11929,787156
zip code 10470,,264,,zip code 10470,2015,Number,14868.0,10470,264,Unknown,,16865242,2382,11929,787156
zip code 10471,,264,,zip code 10471,2015,Number,21727.0,10471,264,Unknown,,16865242,2382,11929,787156
zip code 10472,,264,,zip code 10472,2015,Number,68654.0,10472,264,Unknown,,16865242,2382,11929,787156
zip code 10473,,264,,zip code 10473,2015,Number,59352.0,10473,264,Unknown,,16865242,2382,11929,787156
zip code 10474,,264,,zip code 10474,2015,Number,12686.0,10474,264,Unknown,,16865242,2382,11929,787156
zip code 10475,,264,,zip code 10475,2015,Number,43913.0,10475,264,Unknown,,16865242,2382,11929,787156
zip code 11001,,264,,zip code 11001,2015,Number,27551.0,11001,264,Unknown,,16865242,2382,11929,787156
zip code 11004,,264,,zip code 11004,2015,Number,13778.0,11004,264,Unknown,,16865242,2382,11929,787156
zip code 11005,,264,,zip code 11005,2015,Number,1947.0,11005,264,Unknown,,16865242,2382,11929,787156
zip code 11040,,264,,zip code 11040,2015,Number,41434.0,11040,264,Unknown,,16865242,2382,11929,787156
zip code 11096,,264,,zip code 11096,2015,Number,8331.0,11096,264,Unknown,,16865242,2382,11929,787156
zip code 11101,,264,,zip code 11101,2015,Number,25880.0,11101,264,Unknown,,16865242,2382,11929,787156
zip code 11102,,264,,zip code 11102,2015,Number,35271.0,11102,264,Unknown,,16865242,2382,11929,787156
zip code 11103,,264,,zip code 11103,2015,Number,39231.0,11103,264,Unknown,,16865242,2382,11929,787156
zip code 11104,,264,,zip code 11104,2015,Number,26718.0,11104,264,Unknown,,16865242,2382,11929,787156
zip code 11105,,264,,zip code 11105,2015,Number,37194.0,11105,264,Unknown,,16865242,2382,11929,787156
zip code 11106,,264,,zip code 11106,2015,Number,38812.0,11106,264,Unknown,,16865242,2382,11929,787156
zip code 11109,,264,,zip code 11109,2015,Number,4702.0,11109,264,Unknown,,16865242,2382,11929,787156
zip code 11201,,264,,zip code 11201,2015,Number,58350.0,11201,264,Unknown,,16865242,2382,11929,787156
zip code 11203,,264,,zip code 11203,2015,Number,75887.0,11203,264,Unknown,,16865242,2382,11929,787156
zip code 11204,,264,,zip code 11204,2015,Number,80486.0,11204,264,Unknown,,16865242,2382,11929,787156
zip code 11205,,264,,zip code 11205,2015,Number,43224.0,11205,264,Unknown,,16865242,2382,11929,787156
zip code 11206,,264,,zip code 11206,2015,Number,84806.0,11206,264,Unknown,,16865242,2382,11929,787156
zip code 11207,,264,,zip code 11207,2015,Number,94657.0,11207,264,Unknown,,16865242,2382,11929,787156
zip code 11208,,264,,zip code 11208,2015,Number,93847.0,11208,264,Unknown,,16865242,2382,11929,787156
zip code 11209,,264,,zip code 11209,2015,Number,70803.0,11209,264,Unknown,,16865242,2382,11929,787156
zip code 11210,,264,,zip code 11210,2015,Number,67432.0,11210,264,Unknown,,16865242,2382,11929,787156
zip code 11211,,264,,zip code 11211,2015,Number,97772.0,11211,264,Unknown,,16865242,2382,11929,787156
zip code 11212,,264,,zip code 11212,2015,Number,88668.0,11212,264,Unknown,,16865242,2382,11929,787156
zip code 11213,,264,,zip code 11213,2015,Number,64603.0,11213,264,Unknown,,16865242,2382,11929,787156
zip code 11214,,264,,zip code 11214,2015,Number,91295.0,11214,264,Unknown,,16865242,2382,11929,787156
zip code 11215,,264,,zip code 11215,2015,Number,70818.0,11215,264,Unknown,,16865242,2382,11929,787156
zip code 11216,,264,,zip code 11216,2015,Number,53747.0,11216,264,Unknown,,16865242,2382,11929,787156
zip code 11217,,264,,zip code 11217,2015,Number,38511.0,11217,264,Unknown,,16865242,2382,11929,787156
zip code 11218,,264,,zip code 11218,2015,Number,75691.0,11218,264,Unknown,,16865242,2382,11929,787156
zip code 11219,,264,,zip code 11219,2015,Number,97670.0,11219,264,Unknown,,16865242,2382,11929,787156
zip code 11220,,264,,zip code 11220,2015,Number,102325.0,11220,264,Unknown,,16865242,2382,11929,787156
zip code 11221,,264,,zip code 11221,2015,Number,83372.0,11221,264,Unknown,,16865242,2382,11929,787156
zip code 11222,,264,,zip code 11222,2015,Number,35163.0,11222,264,Unknown,,16865242,2382,11929,787156
zip code 11223,,264,,zip code 11223,2015,Number,79385.0,11223,264,Unknown,,16865242,2382,11929,787156
zip code 11224,,264,,zip code 11224,2015,Number,43001.0,11224,264,Unknown,,16865242,2382,11929,787156
zip code 11225,,264,,zip code 11225,2015,Number,60180.0,11225,264,Unknown,,16865242,2382,11929,787156
zip code 11226,,264,,zip code 11226,2015,Number,99026.0,11226,264,Unknown,,16865242,2382,11929,787156
zip code 11228,,264,,zip code 11228,2015,Number,47190.0,11228,264,Unknown,,16865242,2382,11929,787156
zip code 11229,,264,,zip code 11229,2015,Number,81732.0,11229,264,Unknown,,16865242,2382,11929,787156
zip code 11230,,264,,zip code 11230,2015,Number,88589.0,11230,264,Unknown,,16865242,2382,11929,787156
zip code 11231,,264,,zip code 11231,2015,Number,35263.0,11231,264,Unknown,,16865242,2382,11929,787156
zip code 11232,,264,,zip code 11232,2015,Number,29216.0,11232,264,Unknown,,16865242,2382,11929,787156
zip code 11233,,264,,zip code 11233,2015,Number,71589.0,11233,264,Unknown,,16865242,2382,11929,787156
zip code 11234,,264,,zip code 11234,2015,Number,95912.0,11234,264,Unknown,,16865242,2382,11929,787156
zip code 11235,,264,,zip code 11235,2015,Number,76668.0,11235,264,Unknown,,16865242,2382,11929,787156
zip code 11236,,264,,zip code 11236,2015,Number,98276.0,11236,264,Unknown,,16865242,2382,11929,787156
zip code 11237,,264,,zip code 11237,2015,Number,54182.0,11237,264,Unknown,,16865242,2382,11929,787156
zip code 11238,,264,,zip code 11238,2015,Number,52999.0,11238,264,Unknown,,16865242,2382,11929,787156
zip code 11239,,264,,zip code 11239,2015,Number,12924.0,11239,264,Unknown,,16865242,2382,11929,787156
zip code 11354,,264,,zip code 11354,2015,Number,56908.0,11354,264,Unknown,,16865242,2382,11929,787156
zip code 11355,,264,,zip code 11355,2015,Number,82790.0,11355,264,Unknown,,16865242,2382,11929,787156
zip code 11356,,264,,zip code 11356,2015,Number,24631.0,11356,264,Unknown,,16865242,2382,11929,787156
zip code 11357,,264,,zip code 11357,2015,Number,39737.0,11357,264,Unknown,,16865242,2382,11929,787156
zip code 11358,,264,,zip code 11358,2015,Number,37486.0,11358,264,Unknown,,16865242,2382,11929,787156
zip code 11359,,264,,zip code 11359,2015,Number,0.0,11359,264,Unknown,,16865242,2382,11929,787156
zip code 11360,,264,,zip code 11360,2015,Number,19605.0,11360,264,Unknown,,16865242,2382,11929,787156
zip code 11361,,264,,zip code 11361,2015,Number,30207.0,11361,264,Unknown,,16865242,2382,11929,787156
zip code 11362,,264,,zip code 11362,2015,Number,18139.0,11362,264,Unknown,,16865242,2382,11929,787156
zip code 11363,,264,,zip code 11363,2015,Number,7662.0,11363,264,Unknown,,16865242,2382,11929,787156
zip code 11364,,264,,zip code 11364,2015,Number,34949.0,11364,264,Unknown,,16865242,2382,11929,787156
zip code 11365,,264,,zip code 11365,2015,Number,45041.0,11365,264,Unknown,,16865242,2382,11929,787156
zip code 11366,,264,,zip code 11366,2015,Number,13192.0,11366,264,Unknown,,16865242,2382,11929,787156
zip code 11367,,264,,zip code 11367,2015,Number,42667.0,11367,264,Unknown,,16865242,2382,11929,787156
zip code 11368,,264,,zip code 11368,2015,Number,112709.0,11368,264,Unknown,,16865242,2382,11929,787156
