Location;TimeFrame;DataFormat;Data;Fips
Lower East Side;2018;Years;83,8;103
Lower East Side;2019;Years;84,1;103
Lower East Side;2020;Years;84,3;103
Manhattanville;2014;Years;80,7;109
Manhattanville;2015;Years;81,4;109
Manhattanville;2016;Years;81,7;109
Manhattanville;2017;Years;82,1;109
Manhattanville;2018;Years;82,4;109
Manhattanville;2019;Years;82,6;109
Manhattanville;2020;Years;82,4;109
Midtown Business District;2014;Years;83,9;105
Midtown Business District;2015;Years;84,8;105
Midtown Business District;2016;Years;85,2;105
Midtown Business District;2017;Years;85,6;105
Midtown Business District;2018;Years;86,2;105
Midtown Business District;2019;Years;86,7;105
Midtown Business District;2020;Years;89,1;105
Morrisania;2014;Years;75,6;203
Morrisania;2015;Years;76,2;203
Morrisania;2016;Years;76,6;203
Morrisania;2017;Years;76,8;203
Morrisania;2018;Years;77,2;203
Morrisania;2019;Years;77,5;203
Morrisania;2020;Years;77,7;203
Mott Haven;2014;Years;76,7;201
Mott Haven;2015;Years;77,6;201
Mott Haven;2016;Years;77,8;201
Mott Haven;2017;Years;78;201
Mott Haven;2018;Years;78,3;201
Mott Haven;2019;Years;78,4;201
Mott Haven;2020;Years;78,1;201
Murray Hill/Stuyvesant;2014;Years;85,6;106
Murray Hill/Stuyvesant;2015;Years;85,9;106
Murray Hill/Stuyvesant;2016;Years;86,2;106
Murray Hill/Stuyvesant;2017;Years;86,3;106
Murray Hill/Stuyvesant;2018;Years;86,6;106
Murray Hill/Stuyvesant;2019;Years;87;106
Murray Hill/Stuyvesant;2020;Years;87,4;106
Park Slope;2014;Years;80,6;306
Park Slope;2015;Years;81,4;306
Park Slope;2016;Years;81,8;306
Park Slope;2017;Years;82;306
Park Slope;2018;Years;82,5;306
Park Slope;2019;Years;82,9;306
Park Slope;2020;Years;83,1;306
Pelham Parkway;2014;Years;79,5;211
Pelham Parkway;2015;Years;79,9;211
Pelham Parkway;2016;Years;80;211
Pelham Parkway;2017;Years;80,3;211
Pelham Parkway;2018;Years;80,4;211
Pelham Parkway;2019;Years;80,6;211
Pelham Parkway;2020;Years;80,5;211
Queens Village;2014;Years;82,5;413
Queens Village;2015;Years;82,9;413
Queens Village;2016;Years;83;413
Queens Village;2017;Years;83,1;413
Queens Village;2018;Years;83,2;413
Queens Village;2019;Years;83,2;413
Queens Village;2020;Years;83;413
Rego Park/Forest Hills;2014;Years;84,2;406
Rego Park/Forest Hills;2015;Years;84,4;406
Rego Park/Forest Hills;2016;Years;84,6;406
Rego Park/Forest Hills;2017;Years;84,9;406
Rego Park/Forest Hills;2018;Years;85,2;406
Rego Park/Forest Hills;2019;Years;85,2;406
Rego Park/Forest Hills;2020;Years;85,3;406
Ridgewood/Glendale;2014;Years;81,1;405
Ridgewood/Glendale;2015;Years;81,4;405
Ridgewood/Glendale;2016;Years;81,6;405
Ridgewood/Glendale;2017;Years;81,7;405
Ridgewood/Glendale;2018;Years;81,9;405
Ridgewood/Glendale;2019;Years;81,9;405
Ridgewood/Glendale;2020;Years;81,9;405
Riverdale;2014;Years;80,7;208
Riverdale;2015;Years;80,9;208
Riverdale;2016;Years;81;208
Riverdale;2017;Years;81,3;208
Riverdale;2018;Years;81,6;208
Riverdale;2019;Years;81,8;208
Riverdale;2020;Years;81,7;208
Sheepshead Bay;2014;Years;83,4;315
Sheepshead Bay;2015;Years;83,7;315
Sheepshead Bay;2016;Years;83,7;315
Sheepshead Bay;2017;Years;83,9;315
Sheepshead Bay;2018;Years;83,9;315
Sheepshead Bay;2019;Years;84;315
Sheepshead Bay;2020;Years;84,1;315
South Beach;2014;Years;80,7;502
South Beach;2015;Years;81,2;502
South Beach;2016;Years;81,5;502
South Beach;2017;Years;81,6;502
South Beach;2018;Years;81,9;502
South Beach;2019;Years;82;502
South Beach;2020;Years;82,2;502
St. George;2014;Years;78,5;501
St. George;2015;Years;79;501
St. George;2016;Years;79,2;501
St. George;2017;Years;79,4;501
St. George;2018;Years;79,7;501
St. George;2019;Years;80;501
St. George;2020;Years;80;501
Sunnyside/Woodside;2014;Years;84,5;402
Sunnyside/Woodside;2015;Years;85,4;402
Sunnyside/Woodside;2016;Years;85,7;402
Sunnyside/Woodside;2017;Years;86,3;402
Sunnyside/Woodside;2018;Years;86,9;402
Sunnyside/Woodside;2019;Years;87,4;402
Sunnyside/Woodside;2020;Years;89,7;402
Sunset Park;2014;Years;81,9;307
Sunset Park;2015;Years;82,6;307
Sunset Park;2016;Years;83;307
Sunset Park;2017;Years;83,3;307
Sunset Park;2018;Years;83,7;307
Sunset Park;2019;Years;84,1;307
Sunset Park;2020;Years;84,1;307
The Rockaways;2014;Years;76,1;414
The Rockaways;2015;Years;76,5;414
The Rockaways;2016;Years;76,7;414
The Rockaways;2017;Years;76,9;414
The Rockaways;2018;Years;76,9;414
The Rockaways;2019;Years;77;414
The Rockaways;2020;Years;76,6;414
Throgs Neck;2014;Years;80,7;210
Throgs Neck;2015;Years;81,1;210
Throgs Neck;2016;Years;81,2;210
Throgs Neck;2017;Years;81,4;210
Throgs Neck;2018;Years;81,6;210
Throgs Neck;2019;Years;81,8;210
Throgs Neck;2020;Years;81,7;210
Tottenville;2014;Years;81,2;503
Tottenville;2015;Years;81,3;503
Tottenville;2016;Years;81,4;503
Tottenville;2017;Years;81,3;503
Tottenville;2018;Years;81,4;503
Tottenville;2019;Years;81,4;503
Tottenville;2020;Years;81,5;503
Unionport/Soundview;2014;Years;79,1;209
Unionport/Soundview;2015;Years;79,7;209
Unionport/Soundview;2016;Years;80,1;209
Unionport/Soundview;2017;Years;80,4;209
Unionport/Soundview;2018;Years;80,7;209
Unionport/Soundview;2019;Years;81;209
Unionport/Soundview;2020;Years;80,8;209
University Heights;2014;Years;79,3;205
University Heights;2015;Years;79,9;205
University Heights;2016;Years;80,2;205
University Heights;2017;Years;80,3;205
University Heights;2018;Years;80,5;205
University Heights;2019;Years;80,6;205
University Heights;2020;Years;80,1;205
Upper East Side;2014;Years;85,4;108
Upper East Side;2015;Years;85,9;108
Upper East Side;2016;Years;86,1;108
Upper East Side;2017;Years;86,4;108
Upper East Side;2018;Years;86,6;108
Upper East Side;2019;Years;86,9;108
Upper East Side;2020;Years;87,3;108
Upper West Side;2014;Years;84,2;107
Upper West Side;2015;Years;84,7;107
Upper West Side;2016;Years;85;107
Upper West Side;2017;Years;85,2;107
Upper West Side;2018;Years;85,5;107
Upper West Side;2019;Years;85,7;107
Upper West Side;2020;Years;85,8;107
Washington Heights;2014;Years;83,5;112
Washington Heights;2015;Years;84;112
Washington Heights;2016;Years;84,2;112
Washington Heights;2017;Years;84,4;112
Washington Heights;2018;Years;84,7;112
Washington Heights;2019;Years;85;112
Washington Heights;2020;Years;84,6;112
Williamsbridge;2014;Years;80,5;212
Williamsbridge;2015;Years;81;212
Williamsbridge;2016;Years;81,3;212
Williamsbridge;2017;Years;81,4;212
Williamsbridge;2018;Years;81,6;212
Williamsbridge;2019;Years;81,7;212
Williamsbridge;2020;Years;81,4;212
Williamsburg/Greenpoint;2014;Years;80,3;301
Williamsburg/Greenpoint;2015;Years;81,1;301
Williamsburg/Greenpoint;2016;Years;81,6;301
Williamsburg/Greenpoint;2017;Years;82,2;301
Williamsburg/Greenpoint;2018;Years;82,7;301
Williamsburg/Greenpoint;2019;Years;83,1;301
Williamsburg/Greenpoint;2020;Years;84,1;301
Woodhaven;2014;Years;82,4;409
Woodhaven;2015;Years;82,9;409
Woodhaven;2016;Years;83,1;409
Woodhaven;2017;Years;83,4;409
Woodhaven;2018;Years;83,4;409
Woodhaven;2019;Years;83,5;409
Woodhaven;2020;Years;83,2;409
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
