PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
164,Manhattan,Midtown South,242735,2558102,281,1963653
165,Brooklyn,Midwood,69800,668288,14738,6510
166,Manhattan,Morningside Heights,106707,1223305,237934,459600
167,Bronx,Morrisania/Melrose,89706,802828,12192,4256
168,Bronx,Mott Haven/Port Morris,128468,1184906,23668,20186
169,Bronx,Mount Hope,129122,1049189,12556,4320
170,Manhattan,Murray Hill,261846,2596247,946,2607781
171,Queens,Murray Hill-Queens,67744,433010,4830,2686
172,Staten Island,New Dorp/Midland Beach,12360,105687,60,71
173,Queens,North Corona,117946,486208,17085,3687
174,Bronx,Norwood,85929,836711,18045,3710
175,Queens,Oakland Gardens,19389,183652,2514,1589
176,Staten Island,Oakwood,7581,60833,28,32
177,Brooklyn,Ocean Hill,88592,964321,15968,6753
178,Brooklyn,Ocean Parkway South,22626,247485,3665,1810
179,Queens,Old Astoria,110809,755998,38032,43642
180,Queens,Ozone Park,26562,332194,2124,2183
181,Brooklyn,Park Slope,235912,2407999,117060,68533
182,Bronx,Parkchester,47676,517247,17112,5111
183,Bronx,Pelham Bay,20930,245435,4360,1409
184,Bronx,Pelham Bay Park,5687,43634,515,260
185,Bronx,Pelham Parkway,65054,619082,10120,2753
186,Manhattan,Penn Station/Madison Sq West,151326,1959046,322,3029489
187,Staten Island,Port Richmond,24727,108618,92,79
188,Brooklyn,Prospect-Lefferts Gardens,162172,1675799,35394,17096
189,Brooklyn,Prospect Heights,84842,930424,15264,15701
190,Brooklyn,Prospect Park,14287,178566,5178,3557
191,Queens,Queens Village,42584,489462,9336,5123
192,Queens,Queensboro Hill,43753,288646,5607,1653
193,Queens,Queensbridge/Ravenswood,43535,283372,23684,63842
194,Manhattan,Randalls Island,2642,45021,665,6492
195,Brooklyn,Red Hook,40602,464585,9484,6929
196,Queens,Rego Park,57431,510714,52533,9639
197,Queens,Richmond Hill,70230,835592,16977,9297
198,Queens,Ridgewood,197140,1316809,5820,4106
199,Bronx,Rikers Island,16,12,1,13
200,Bronx,Riverdale/North Riverdale/Fieldston,36980,391415,6126,2838
201,Queens,Rockaway Park,9407,112990,1350,594
202,Manhattan,Roosevelt Island,15123,117211,1014,3935
203,Queens,Rosedale,29705,316514,4622,3976
204,Staten Island,Rossville/Woodrow,6735,47121,15,30
205,Queens,Saint Albans,61978,721524,16145,8894
206,Staten Island,Saint George/New Brighton,87545,364752,487,330
207,Queens,Saint Michaels Cemetery/Woodside,526,17924,757,4912
208,Bronx,Schuylerville/Edgewater Park,53473,610296,7847,2977
209,Manhattan,Seaport,48394,577525,498,178715
210,Brooklyn,Sheepshead Bay,67583,682463,30733,5291
211,Manhattan,SoHo,136489,1427999,44,662188
212,Bronx,Soundview/Bruckner,50944,539081,15023,3308
213,Bronx,Soundview/Castle Hill,95542,955682,22170,8281
214,Staten Island,South Beach/Dongan Hills,18593,137147,118,240
215,Queens,South Jamaica,50963,587868,11438,14295
216,Queens,South Ozone Park,97285,1155682,11390,16330
217,Brooklyn,South Williamsburg,33090,332323,4819,5983
218,Queens,Springfield Gardens North,32195,380661,8758,7125
219,Queens,Springfield Gardens South,30445,354698,3432,9610
220,Bronx,Spuyten Duyvil/Kingsbridge,71384,752328,13092,4846
221,Staten Island,Stapleton,45144,236865,247,163
222,Brooklyn,Starrett City,25504,238409,11391,4992
223,Queens,Steinway,142529,1166804,83491,44143
224,Manhattan,Stuy Town/Peter Cooper Village,61090,677745,229,164878
225,Brooklyn,Stuyvesant Heights,189038,1970731,31908,14038
226,Queens,Sunnyside,134177,1345587,44931,124512
227,Brooklyn,Sunset Park East,58310,497088,6776,3211
228,Brooklyn,Sunset Park West,84660,976568,11646,8243
229,Manhattan,Sutton Place/Turtle Bay North,190697,1684079,356,1590546
230,Manhattan,Times Sq/Theatre District,288522,2765258,305,2903490
231,Manhattan,TriBeCa/Civic Center,277665,2854586,915,1403307
232,Manhattan,Two Bridges/Seward Park,116548,1148160,755,122406
233,Manhattan,UN/Turtle Bay South,174182,1533837,341,1100811
234,Manhattan,Union Sq,329035,3058914,240,2536584
235,Bronx,University Heights/Morris Heights,105557,1064266,15893,6377
236,Manhattan,Upper East Side North,203313,1955678,13392,3293443
237,Manhattan,Upper East Side South,222297,2057854,484,3643691
238,Manhattan,Upper West Side North,169896,1552500,868,1665383
239,Manhattan,Upper West Side South,174604,1792408,308,2185003
240,Bronx,Van Cortlandt Park,16321,123560,1425,631
241,Bronx,Van Cortlandt Village,76408,882172,8897,3257
242,Bronx,Van Nest/Morris Park,99892,793367,27736,5704
243,Manhattan,Washington Heights North,117614,1286964,32739,16243
244,Manhattan,Washington Heights South,174464,1857401,155582,93579
245,Staten Island,West Brighton,24183,148341,62,87
246,Manhattan,West Chelsea/Hudson Yards,243906,2552153,160,1384492
247,Bronx,West Concourse,103472,1169663,29310,13699
248,Bronx,West Farms/Bronx River,49930,527009,7687,2777
249,Manhattan,West Village,216057,2182863,122,1633938
250,Bronx,Westchester Village/Unionport,45609,484119,10913,3750
251,Staten Island,Westerleigh,18782,135668,168,138
252,Queens,Whitestone,51739,261094,2464,1942
253,Queens,Willets Point,1280,20120,944,300
254,Bronx,Williamsbridge/Olinville,95198,920037,16772,5804
255,Brooklyn,Williamsburg (North Side),209187,2611137,79654,61578
256,Brooklyn,Williamsburg (South Side),169348,2078935,30187,49631
257,Brooklyn,Windsor Terrace,34592,352554,5252,4054
258,Queens,Woodhaven,54602,628227,5858,3628
259,Bronx,Woodlawn/Wakefield,79717,565369,7616,2878
260,Queens,Woodside,95468,905480,125792,43364
261,Manhattan,World Trade Center,89500,866049,207,492907
262,Manhattan,Yorkville East,119687,1112926,391,1018123
263,Manhattan,Yorkville West,156807,1447627,4293,1547990
264,Unknown,N/A,16865242,2382,11929,787156
265,N/A,Outside of NYC,419446,10667,3602,46997
