24,132,643
97,1,10
114,138,954
166,1,179
193,138,85
232,1,62
73,138,6
51,132,7
107,1,1006
219,138,25
119,138,4
14,138,23
46,132,1
207,1,1
112,1,15
188,138,109
169,138,3
16,138,5
225,1,7
106,1,5
190,1,1
53,1,2
40,1,7
39,138,6
157,1,1
118,132,1
168,1,3
76,138,9
205,138,3
175,132,5
159,132,8
6,1,2
3,132,3
17,138,107
182,138,2
111,132,1
183,138,1
57,132,5
205,1,1
189,138,143
248,132,2
257,138,13
23,1,1
235,132,7
198,138,32
227,138,6
150,132,4
38,138,7
220,138,7
15,138,5
245,1,1
159,1,3
155,1,1
177,138,15
179,1,3
78,138,3
2,138,1
133,132,16
91,138,4
47,138,3
210,138,2
196,1,2
124,1,4
257,132,10
117,132,7
21,132,4
133,138,17
39,1,1
190,138,6
18,138,2
94,138,3
82,1,3
214,1,3
178,132,5
199,138,2
57,138,1
29,132,10
36,1,3
26,138,2
242,138,4
258,138,3
56,1,2
69,138,10
150,1,1
54,1,3
130,1,3
55,1,1
34,132,4
123,132,4
81,132,2
193,1,2
17,1,6
122,138,1
120,138,4
194,1,2
228,1,5
235,1,2
256,1,13
14,1,3
34,138,5
128,132,3
184,132,1
76,1,1
54,132,11
86,138,2
60,132,2
185,138,3
165,138,3
98,138,3
171,132,2
243,1,18
156,132,1
214,132,1
200,138,5
221,138,1
98,132,3
188,1,4
259,138,1
31,132,3
184,138,1
175,138,1
61,1,11
180,138,1
32,1,1
202,1,2
49,1,6
200,1,1
254,1,1
21,1,1
83,1,2
27,132,2
89,1,3
35,1,1
71,138,11
30,138,1
189,1,6
62,1,2
154,138,2
37,1,8
253,138,3
252,1,1
147,138,1
172,1,1
8,1,1
63,138,2
34,1,1
242,132,1
21,138,1
59,138,1
58,138,2
174,138,1
31,138,2
111,138,1
109,1,1
22,138,1
149,138,1
200,132,2
245,138,1
46,138,1
123,138,1
133,1,1
198,1,2
153,1,1
153,138,2
220,1,2
153,132,2
85,1,1
20,132,1
241,132,1
